Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04510:Focal adhesion	7	18.421052631578945	2.61010970648355E-6	224229_S_AT, 201645_AT, 212609_S_AT, 213428_S_AT, 201474_S_AT, 200859_X_AT, 203065_S_AT, 209156_S_AT, 212607_AT, 222880_AT	16	206	6910	14.675364077669903	2.3227308746975872E-4	2.3227308746975872E-4	0.002833316742278935
GOTERM_BP_FAT	GO:0042060~wound healing	9	23.684210526315788	1.2964586970670467E-5	221870_AT, 201645_AT, 206117_AT, 202686_S_AT, 45297_AT, 212992_AT, 206116_S_AT, 224833_AT, 224911_S_AT, 200859_X_AT, 202685_S_AT, 203065_S_AT	36	542	16650	7.67988929889299	0.02191296763541495	0.02191296763541495	0.02187866719789433
GOTERM_BP_FAT	GO:0007155~cell adhesion	14	36.84210526315789	2.1211154453776284E-5	204489_S_AT, 212063_AT, 213428_S_AT, 204490_S_AT, 206117_AT, 217523_AT, 212014_X_AT, 209835_X_AT, 209651_AT, 224833_AT, 200859_X_AT, 1565868_AT, 210916_S_AT, 209156_S_AT, 203065_S_AT, 225303_AT, 201645_AT, 1557905_S_AT, 225275_AT, 202686_S_AT, 201474_S_AT, 206116_S_AT, 202685_S_AT, 218084_X_AT	36	1699	16650	3.811065332548558	0.035601075057060894	0.01796185158470598	0.03579299600913188
GOTERM_BP_FAT	GO:0022610~biological adhesion	14	36.84210526315789	2.203192668850231E-5	204489_S_AT, 212063_AT, 213428_S_AT, 204490_S_AT, 206117_AT, 217523_AT, 212014_X_AT, 209835_X_AT, 209651_AT, 224833_AT, 200859_X_AT, 1565868_AT, 210916_S_AT, 209156_S_AT, 203065_S_AT, 225303_AT, 201645_AT, 1557905_S_AT, 225275_AT, 202686_S_AT, 201474_S_AT, 206116_S_AT, 202685_S_AT, 218084_X_AT	36	1705	16650	3.7976539589442813	0.03695291807950374	0.012472557281834384	0.0371777749125779
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	5	13.157894736842104	2.8788934520335265E-5	204489_S_AT, 201645_AT, 1557905_S_AT, 212063_AT, 213428_S_AT, 204490_S_AT, 217523_AT, 201474_S_AT, 212014_X_AT, 209835_X_AT, 1565868_AT, 210916_S_AT, 209156_S_AT	16	87	6910	24.820402298850574	0.0025589722887343624	0.0012803057357556602	0.031246827863895543
GOTERM_BP_FAT	GO:0030155~regulation of cell adhesion	9	23.684210526315788	4.419961474705856E-5	204489_S_AT, 212063_AT, 206117_AT, 204490_S_AT, 217523_AT, 212014_X_AT, 209835_X_AT, 224833_AT, 200859_X_AT, 1565868_AT, 210916_S_AT, 203065_S_AT, 201645_AT, 1557905_S_AT, 225275_AT, 201474_S_AT, 206116_S_AT, 218084_X_AT	36	643	16650	6.473561430793157	0.07275625742893166	0.018707503955118998	0.07457151672222162
GOTERM_BP_FAT	GO:0009611~response to wounding	9	23.684210526315788	4.720857651114005E-5	221870_AT, 201645_AT, 206117_AT, 202686_S_AT, 45297_AT, 212992_AT, 206116_S_AT, 224833_AT, 224911_S_AT, 200859_X_AT, 202685_S_AT, 203065_S_AT	36	649	16650	6.413713405238829	0.07751241550380483	0.016006780139945942	0.07964619348379554
GOTERM_BP_FAT	GO:0030198~extracellular matrix organization	7	18.421052631578945	6.187784513267286E-5	231579_S_AT, 204489_S_AT, 213428_S_AT, 212063_AT, 204490_S_AT, 217523_AT, 212014_X_AT, 209835_X_AT, 224833_AT, 1565868_AT, 210916_S_AT, 209156_S_AT, 201645_AT, 1557905_S_AT, 201474_S_AT, 224560_AT	36	334	16650	9.69311377245509	0.10035272508121695	0.01747099908704519	0.10438274895435695
GOTERM_BP_FAT	GO:0043062~extracellular structure organization	7	18.421052631578945	6.291162258517948E-5	231579_S_AT, 204489_S_AT, 213428_S_AT, 212063_AT, 204490_S_AT, 217523_AT, 212014_X_AT, 209835_X_AT, 224833_AT, 1565868_AT, 210916_S_AT, 209156_S_AT, 201645_AT, 1557905_S_AT, 201474_S_AT, 224560_AT	36	335	16650	9.664179104477611	0.10194085079883497	0.015242544742392394	0.1061257741892252
GOTERM_BP_FAT	GO:0032970~regulation of actin filament-based process	7	18.421052631578945	6.291162258517948E-5	206117_AT, 204597_X_AT, 204595_S_AT, 209288_S_AT, 206116_S_AT, 225685_AT, 200859_X_AT, 225464_AT, 203065_S_AT, 209287_S_AT, 209286_AT, 225303_AT	36	335	16650	9.664179104477611	0.10194085079883497	0.015242544742392394	0.1061257741892252
GOTERM_BP_FAT	GO:0045785~positive regulation of cell adhesion	7	18.421052631578945	1.3523960293370565E-4	204489_S_AT, 212063_AT, 206117_AT, 204490_S_AT, 217523_AT, 212014_X_AT, 209835_X_AT, 224833_AT, 200859_X_AT, 1565868_AT, 210916_S_AT, 203065_S_AT, 1557905_S_AT, 225275_AT, 201474_S_AT, 206116_S_AT	36	385	16650	8.40909090909091	0.2063717381333987	0.028479116180484265	0.2280050953447743
GOTERM_BP_FAT	GO:0030048~actin filament-based movement	5	13.157894736842104	1.6333013975215155E-4	206117_AT, 204597_X_AT, 204595_S_AT, 206116_S_AT, 200859_X_AT, 225464_AT, 203065_S_AT	36	132	16650	17.518939393939394	0.24357659994311387	0.03054101629599104	0.2753025149572985
UP_KEYWORDS	Phosphoprotein	27	71.05263157894737	1.9262778872851545E-4	1559072_A_AT, 206117_AT, 217523_AT, 208965_S_AT, 212992_AT, 212014_X_AT, 210916_S_AT, 203065_S_AT, 208966_X_AT, 221870_AT, 226829_AT, 1557905_S_AT, 202686_S_AT, 204823_AT, 212646_AT, 227584_AT, 224770_S_AT, 206116_S_AT, 225685_AT, 224911_S_AT, 209286_AT, 206332_S_AT, 204489_S_AT, 220272_AT, 212063_AT, 204490_S_AT, 45297_AT, 209288_S_AT, 224772_AT, 209835_X_AT, 209651_AT, 224833_AT, 1565868_AT, 200859_X_AT, 225464_AT, 209156_S_AT, 222880_AT, 225303_AT, 211165_X_AT, 224229_S_AT, 201645_AT, 212609_S_AT, 227697_AT, 201474_S_AT, 213032_AT, 202685_S_AT, 212607_AT, 209287_S_AT, 213033_S_AT	38	8246	20581	1.7733861393721997	0.020024655300216354	0.020024655300216354	0.21555518112118532
GOTERM_BP_FAT	GO:0009719~response to endogenous stimulus	12	31.57894736842105	2.2045531836299928E-4	217523_AT, 222450_AT, 224940_S_AT, 212014_X_AT, 210916_S_AT, 222449_AT, 203065_S_AT, 1557905_S_AT, 202237_AT, 224560_AT, 204489_S_AT, 231579_S_AT, 212063_AT, 213428_S_AT, 204490_S_AT, 204597_X_AT, 204595_S_AT, 209835_X_AT, 209651_AT, 228128_X_AT, 1565868_AT, 224941_AT, 201645_AT, 227697_AT, 201474_S_AT, 202238_S_AT	36	1548	16650	3.5852713178294575	0.313946505759901	0.036978910311225355	0.37142193425139247
GOTERM_BP_FAT	GO:0010033~response to organic substance	16	42.10526315789473	2.8286826456435515E-4	217523_AT, 222450_AT, 224940_S_AT, 212014_X_AT, 222449_AT, 210916_S_AT, 203065_S_AT, 202237_AT, 1557905_S_AT, 202686_S_AT, 212646_AT, 224560_AT, 231579_S_AT, 204489_S_AT, 213428_S_AT, 212063_AT, 204490_S_AT, 204597_X_AT, 204595_S_AT, 209835_X_AT, 209651_AT, 224833_AT, 228128_X_AT, 1565868_AT, 209156_S_AT, 224941_AT, 201645_AT, 227697_AT, 201474_S_AT, 202238_S_AT, 202685_S_AT	36	2822	16650	2.622253720765414	0.3833725519695068	0.04300169532988651	0.47633897333044795
GOTERM_BP_FAT	GO:0045597~positive regulation of cell differentiation	9	23.684210526315788	2.8533675857936704E-4	221870_AT, 211165_X_AT, 231579_S_AT, 202686_S_AT, 227697_AT, 201474_S_AT, 45297_AT, 209651_AT, 224833_AT, 200859_X_AT, 224560_AT, 202685_S_AT	36	841	16650	4.9494649227110585	0.3859691479947005	0.03982767815889332	0.4804864089103522
